SENSITIVITY,Sea birds,Coral reef fish,Deep fish squid,Demersal fish,Infauna,Mobile epifauna,Pelagic fish,Rays skates,Sharks,Tuna billfish,Whale shark,Abyss soft,Abyss hard,Cold coral reef,Slope hard,Slope soft,Thermal vents,Ocean ridge,Deep pelagic,Midwater pelagic,Photic pelagic,Upwelling pelagic,Seamounts,Shelf hard (temp),Shelf soft (temp),Kelp forest (temp),Algae bed (temp),Mudflat (temp),Penguin feedground,Salt marsh (temp),Seagrass bed (temp),Shallow soft (temp),Shallow hard (temp),Shore (temp),Mesophotic coral,Shelf hard,Shelf soft,Algae bed,Mangrove,Mudflat,Salt marsh,Seagrass bed,Coral reef,Shallow hard,Shallow soft,Shore,Baleen whales,Dolphins,Dugong,Fur seals,Toothed whales,Sea turtles
Algae farming,0,0.01,0,0.01,0.04,0.03,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.09,0.09,0.09,0,0.04,0.11,0.04,0.06,0.09,0.04,0,0,0.09,0.04,0.02,0.07,0.11,0.09,0.06,0.06,0.08,0.04,0.06,0.06,0.04,0.04,0.08
Mariculture,0.01,0.03,0.01,0.04,0.07,0.07,0.04,0.03,0.03,0.02,0.02,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.16,0.09,0.07,0.09,0.01,0.04,0.11,0.2,0.06,0.2,0.02,0.03,0.03,0.07,0.16,0.04,0.07,0.05,0.09,0.06,0.1,0.05,0.16,0.06,0.06,0.16,0.09,0.16
Invasive species,0.28,0.09,0.07,0.06,0.1,0.1,0.14,0.04,0.04,0.04,0.04,0.22,0.04,0.53,0.04,0.02,0.16,0.04,0.04,0.04,0.04,0.04,0.04,0.36,0.36,0.45,0.25,0.04,0.28,0.36,0.36,0.28,0.04,0.36,0.09,0.04,0.09,0.25,0.36,0.04,0.16,0.22,0.22,0.04,0.12,0.13,0.16,0.09,0.07,0.16,0.07,0.16
Ocean acidification,0.16,0.32,0.36,0.41,0.25,0.32,0.28,0.25,0.22,0.25,0.22,0.04,0.04,0.16,0.16,0.16,0.16,0.04,0.16,0.16,0.16,0.16,0.04,0.16,0.04,0.36,0.28,0.04,0.16,0.45,0.36,0.04,0.16,0.04,0.42,0.11,0.07,0.28,0.28,0.11,0.22,0.23,0.46,0.16,0.16,0.25,0.22,0.22,0.22,0.36,0.22,0.3
Sea level rise,0.36,0.05,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.04,0.64,0,0.76,0.49,0.36,0.04,0.86,0,0,0,0.04,0.25,0.36,0.36,0.23,0.12,0.04,0.04,0.53,0,0.04,0.11,0,0,0.27
Storm surges,0.28,0.1,0.04,0.12,0.16,0.16,0.12,0.12,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.36,0.45,0.25,0.64,0.28,0.45,0.36,0.36,0.01,0.64,0.04,0.01,0.01,0.25,0.36,0.25,0.16,0.25,0.36,0.01,0.01,0.45,0.36,0.36,0.36,0.16,0.36,0.45
Temperature rise,0.28,0.25,0.02,0.28,0.27,0.23,0.18,0.16,0.16,0.14,0.16,0,0,0,0.02,0.02,0,0.02,0,0.02,0.36,0.36,0,0.04,0.04,0.28,0.09,0.04,0.28,0.45,0.36,0.04,0.04,0.04,0.36,0.04,0.04,0.09,0.25,0.16,0.16,0.27,0.49,0.04,0.04,0.22,0.11,0.16,0.11,0,0.16,0.49
Dredging,0.16,0.36,0.25,0.45,0.41,0.64,0.36,0.07,0.08,0.11,0.14,0.36,0.36,1,0.04,0.11,0.36,0.64,0,0,0,0,0.36,0.53,0.45,0.53,0.2,0.36,0.16,0.76,0.64,0.64,0.16,0.53,0.71,0.31,0.31,0.2,0.16,0.16,0.2,0.48,0.64,0.16,0.31,0.22,0.2,0.12,0.16,0.16,0.11,0.41
Dumping,0.16,0.16,0.11,0.14,0.31,0.31,0.07,0.06,0.06,0.04,0.08,0.11,0.11,0.36,0.28,0.16,0.11,0.04,0.04,0.04,0.16,0.36,0.04,0.45,0.53,0.45,0.06,0.16,0.16,0.45,0.42,0.53,0.06,0.45,0.19,0.02,0.02,0.06,0.42,0.06,0.09,0.36,0.25,0.06,0.06,0.16,0.12,0.12,0.16,0.16,0.16,0.23
Industrial pollution,0.36,0.09,0.16,0.26,0.64,0.36,0.19,0.09,0.14,0.14,0.11,0.02,0.02,0.36,0,0.01,0.06,0.04,0.01,0.04,0.16,0.04,0.01,0.3,0.3,0.36,0.36,0.36,0.36,0.49,0.41,0.49,0.02,0.56,0.36,0.05,0.04,0.36,0.32,0.16,0.22,0.25,0.36,0.02,0.09,0.16,0.19,0.31,0.3,0.36,0.2,0.16
