SENSITIVITY,Sea birds,Coral reef fish,Deep fish squid,Demersal fish,Infauna,Mobile epifauna,Pelagic fish,Rays skates,Sharks,Tuna billfish,Whale shark,Abyss soft,Abyss hard,Cold coral reef,Slope hard,Slope soft,Thermal vents,Ocean ridge,Deep pelagic,Midwater pelagic,Photic pelagic,Upwelling pelagic,Seamounts,Shelf hard (temp),Shelf soft (temp),Kelp forest (temp),Algae bed (temp),Mudflat (temp),Penguin feedground,Salt marsh (temp),Seagrass bed (temp),Shallow soft (temp),Shallow hard (temp),Shore (temp),Mesophotic coral,Shelf hard,Shelf soft,Algae bed,Mangrove,Mudflat,Salt marsh,Seagrass bed,Coral reef,Shallow hard,Shallow soft,Shore,Baleen whales,Dolphins,Dugong,Fur seals,Toothed whales,Sea turtles
Algae farming,0,0.1,0,0.1,0.2,0.17,0.07,0.09,0.09,0.06,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0,0.2,0.33,0.2,0.25,0.3,0.2,0.05,0.05,0.3,0.2,0.15,0.27,0.33,0.3,0.25,0.25,0.28,0.2,0.25,0.25,0.2,0.2,0.28
Mariculture,0.1,0.17,0.1,0.2,0.27,0.27,0.2,0.17,0.17,0.13,0.13,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.4,0.3,0.27,0.3,0.1,0.2,0.33,0.45,0.24,0.45,0.13,0.16,0.16,0.27,0.4,0.2,0.27,0.23,0.3,0.24,0.32,0.23,0.4,0.25,0.25,0.4,0.3,0.4
Invasive species,0.53,0.3,0.27,0.25,0.32,0.32,0.37,0.2,0.2,0.2,0.2,0.47,0.2,0.73,0.2,0.13,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.67,0.5,0.2,0.53,0.6,0.6,0.53,0.2,0.6,0.3,0.2,0.3,0.5,0.45,0.2,0.4,0.47,0.47,0.2,0.35,0.36,0.4,0.3,0.27,0.4,0.27,0.4
Ocean acidification,0.4,0.57,0.6,0.64,0.5,0.57,0.53,0.5,0.47,0.5,0.47,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.6,0.53,0.2,0.4,0.67,0.6,0.2,0.4,0.2,0.65,0.33,0.27,0.53,0.53,0.33,0.47,0.48,0.68,0.4,0.4,0.5,0.47,0.47,0.47,0.6,0.47,0.55
Sea level rise,0.6,0.23,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.8,0,0.87,0.7,0.6,0.2,0.93,0,0,0,0.2,0.5,0.6,0.6,0.48,0.35,0.2,0.2,0.73,0,0.2,0.33,0,0,0.52
Storm surges,0.53,0.32,0.2,0.35,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.67,0.5,0.8,0.53,0.67,0.6,0.6,0.1,0.8,0.2,0.1,0.1,0.5,0.6,0.5,0.4,0.5,0.6,0.1,0.1,0.67,0.6,0.6,0.6,0.4,0.6,0.67
Temperature rise,0.53,0.5,0.15,0.53,0.52,0.48,0.43,0.4,0.4,0.37,0.4,0,0,0,0.15,0.15,0,0.15,0,0.15,0.6,0.6,0,0.2,0.2,0.53,0.3,0.2,0.53,0.67,0.6,0.2,0.2,0.2,0.6,0.2,0.2,0.3,0.5,0.4,0.4,0.52,0.7,0.2,0.2,0.47,0.33,0.4,0.33,0,0.4,0.7
Dredging,0.4,0.58,0.5,0.67,0.64,0.56,0.35,0.27,0.29,0.33,0.37,0.6,0.6,1,0.2,0.33,0.6,0.8,0,0,0,0,0.6,0.73,0.67,0.73,0.45,0.6,0.4,0.87,0.8,0.8,0.4,0.73,0.84,0.56,0.56,0.45,0.35,0.4,0.45,0.69,0.8,0.4,0.56,0.47,0.45,0.35,0.4,0.4,0.33,0.64
Dumping,0.4,0.4,0.33,0.37,0.56,0.56,0.26,0.24,0.24,0.2,0.28,0.33,0.33,0.6,0.53,0.4,0.33,0.2,0.2,0.2,0.4,0.6,0.2,0.67,0.73,0.67,0.25,0.4,0.4,0.67,0.65,0.73,0.25,0.67,0.44,0.15,0.15,0.25,0.65,0.25,0.3,0.6,0.5,0.25,0.25,0.4,0.35,0.35,0.4,0.4,0.4,0.48
Industrial pollution,0.6,0.4,0.4,0.51,0.5,0.58,0.44,0.3,0.37,0.38,0.33,0.15,0.15,0.6,0.05,0.1,0.25,0.2,0.1,0.2,0.4,0.2,0.1,0.55,0.55,0.6,0.6,0.6,0.6,0.7,0.64,0.7,0.13,0.75,0.6,0.23,0.2,0.6,0.57,0.4,0.47,0.5,0.6,0.13,0.3,0.4,0.44,0.56,0.55,0.6,0.45,0.63
Land reclamation,0.5,0.58,0.05,0.63,0.63,0.68,0.17,0.26,0.3,0.11,0.17,0,0,0.67,0,0,0,0,0,0,0,0,0,0.5,0.8,0.75,0.6,0.9,0.53,0.85,0.76,0.85,0.63,0.85,0.6,0.5,0.47,0.6,0.87,0.7,0.6,0.75,0.71,0.63,0.33,0.66,0.25,0.3,0.35,0.2,0.25,0.48
Light pollution,0.45,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.27,0.1,0.1,0.1,0.27,0.25,0.3,0.3,0.3,0.25,0.64
